Gender,Age,Family_ID,Work_ID,School_ID,Work_Status,School_Status,Infection_Status
1,60,60,2229,,1,0,S
0,59,60,3752,,1,0,S
0,27,60,3852,,1,0,S
0,79,61,,,-2,0,S
1,39,61,,,0,0,S
0,3,61,,15,-1,5,S
0,52,61,2652,,1,0,S
0,9,61,,55,-1,3,S
0,75,62,,,-2,0,S
0,25,62,3338,,1,0,S
1,52,62,1441,,1,0,S
1,20,63,2992,,1,0,S
1,19,63,1509,,1,0,S
1,3,63,,52,-1,5,S
1,31,63,916,,1,0,S
1,35,65,3836,,1,0,S
1,87,65,,,-2,0,S
1,95,65,,,-2,0,S
1,65,66,902,,1,0,S
1,93,66,,,-2,0,S
0,74,67,,,-2,0,S
0,50,67,3491,,1,0,S
0,38,68,1512,,1,0,S
1,60,68,3876,,1,0,S
1,73,68,,,-2,0,S
1,72,69,,,-2,0,S
0,44,69,3175,,1,0,S
1,62,69,335,,1,0,S
1,55,70,3862,,1,0,S
1,65,70,2016,,1,0,S
1,33,70,2932,,1,0,S
1,90,70,,,-2,0,S
0,22,71,1558,,1,0,S
0,10,71,,13,-1,3,S
1,23,71,3138,,1,0,S
0,91,71,,,-2,0,S
1,72,71,,,-2,0,S
1,2,72,,59,-1,5,S
0,76,73,,,-2,0,S
0,51,73,,,0,0,S
1,47,73,3155,,1,0,S
1,37,73,2449,,1,0,S
1,69,73,,,-2,0,S
0,44,74,3946,,1,0,S
0,88,74,,,-2,0,S
0,13,74,,41,-1,2,S
0,72,75,,,-2,0,S
0,28,75,1340,,1,0,S
1,76,75,,,-2,0,S
0,63,75,4307,,1,0,S
1,55,75,1225,,1,0,S
0,89,75,,,-2,0,S
1,48,75,1411,,1,0,S
1,19,76,1501,,1,0,S
0,25,76,3183,,1,0,S
1,39,76,2528,,1,0,S
1,99,77,,,-2,0,S
1,35,77,1159,,1,0,S
1,15,77,,37,-1,1,S
1,49,77,1724,,1,0,S
1,34,77,1865,,1,0,S
0,14,78,,54,-1,2,S
1,20,78,1518,,1,0,S
0,59,79,3457,,1,0,S
0,83,79,,,-2,0,S
0,81,80,,,-2,0,S
1,66,80,,,-2,0,S
1,8,80,,64,-1,3,S
0,58,81,2353,,1,0,S
0,40,81,4360,,1,0,S
1,49,82,3906,,1,0,S
0,65,82,3091,,1,0,S
1,97,83,,,-2,0,S
1,3,83,,47,-1,5,S
0,5,83,,55,-1,4,S
0,65,83,3739,,1,0,S
1,74,84,,,-2,0,S
1,97,84,,,-2,0,S
0,56,84,2801,,1,0,S
0,44,84,1147,,1,0,S
0,16,84,,25,-1,1,S
1,96,84,,,-2,0,S
1,60,84,4344,,1,0,S
1,13,85,,37,-1,2,S
1,0,85,,43,-1,6,S
1,92,85,,,-2,0,S
0,86,85,,,-2,0,S
0,2,85,,41,-1,5,S
0,80,85,,,-2,0,S
1,94,85,,,-2,0,S
0,14,86,,52,-1,2,S
1,76,86,,,-2,0,S
0,85,86,,,-2,0,S
1,14,86,,42,-1,2,S
1,11,87,,44,-1,3,S
0,60,87,,,0,0,S
1,48,87,3535,,1,0,S
1,16,87,,11,-1,1,S
1,26,87,2226,,1,0,S
1,52,88,3041,,1,0,S
1,15,88,,3,-1,1,S
1,63,88,3360,,1,0,S
1,31,88,1208,,1,0,S
1,20,89,289,,1,0,S
1,60,89,1203,,1,0,S
1,53,89,2034,,1,0,S
0,8,90,,18,-1,3,S
1,88,90,,,-2,0,S
1,82,90,,,-2,0,S
1,33,91,2162,,1,0,S
0,9,91,,54,-1,3,S
0,68,91,,,-2,0,S
1,45,91,1655,,1,0,S
1,60,92,2294,,1,0,S
1,2,92,,61,-1,5,S
1,46,93,3519,,1,0,S
0,1,94,,21,-1,6,S
0,9,94,,57,-1,3,S
0,84,94,,,-2,0,S
0,37,94,,,0,0,S
1,81,94,,,-2,0,S
1,68,95,,,-2,0,S
0,11,95,,39,-1,3,S
0,20,96,1819,,1,0,S
0,70,96,,,-2,0,S
1,58,96,556,,1,0,S
1,13,96,,21,-1,2,S
1,97,96,,,-2,0,S
0,2,96,,24,-1,5,S
0,18,97,,,0,0,S
1,90,97,,,-2,0,S
0,92,97,,,-2,0,S
1,25,98,523,,1,0,S
0,95,98,,,-2,0,S
1,78,99,,,-2,0,S
0,99,99,,,-2,0,S
1,98,99,,,-2,0,S
1,2,100,,25,-1,5,S
0,79,100,,,-2,0,S
0,38,100,3795,,1,0,S
1,73,100,,,-2,0,S
0,60,101,2482,,1,0,S
1,71,101,,,-2,0,S
1,33,101,2537,,1,0,S
0,49,102,4553,,1,0,S
1,35,102,,,0,0,S
1,37,102,107,,1,0,S
1,56,102,3096,,1,0,S
1,36,102,1715,,1,0,S
1,58,103,1402,,1,0,S
0,49,103,2349,,1,0,S
1,56,103,2844,,1,0,S
0,92,104,,,-2,0,S
0,16,105,,43,-1,1,S
1,94,105,,,-2,0,S
0,52,105,2742,,1,0,S
1,63,105,,,0,0,S
0,22,105,3409,,1,0,S
1,51,106,2179,,1,0,S
1,58,106,4452,,1,0,S
1,39,106,3748,,1,0,S
1,34,106,4652,,1,0,S
1,63,107,514,,1,0,S
0,99,107,,,-2,0,S
1,83,108,,,-2,0,S
1,70,108,,,-2,0,S
1,8,108,,54,-1,3,S
0,85,108,,,-2,0,S
0,3,109,,46,-1,5,S
1,37,109,3583,,1,0,S
0,16,109,,39,-1,1,S
0,32,109,3279,,1,0,S
1,23,110,845,,1,0,S
0,42,110,2660,,1,0,S
0,10,110,,2,-1,3,S
0,24,110,1506,,1,0,S
0,42,110,4388,,1,0,S
0,43,111,2562,,1,0,S
0,51,111,3880,,1,0,S
0,47,111,562,,1,0,S
0,47,112,4137,,1,0,S
1,35,112,583,,1,0,S
0,73,112,,,-2,0,S
0,38,112,2018,,1,0,S
1,25,113,3563,,1,0,S
0,6,113,,30,-1,3,S
1,66,114,,,-2,0,S
1,78,114,,,-2,0,S
1,14,114,,45,-1,2,S
0,43,115,3675,,1,0,S
1,59,115,2186,,1,0,S
1,48,115,2913,,1,0,S
0,80,115,,,-2,0,S
1,92,115,,,-2,0,S
0,94,116,,,-2,0,S
0,38,116,708,,1,0,S
0,87,116,,,-2,0,S
1,12,116,,53,-1,2,S
1,68,116,,,-2,0,S
0,48,117,,,0,0,S
1,75,117,,,-2,0,S
1,45,117,2874,,1,0,S
1,26,117,2980,,1,0,S
0,59,117,,,0,0,S
0,80,118,,,-2,0,S
0,55,118,3365,,1,0,S
0,31,118,4733,,1,0,S
1,72,118,,,-2,0,S
1,63,118,1300,,1,0,S
1,38,119,3177,,1,0,S
1,90,119,,,-2,0,S
1,85,119,,,-2,0,S
0,66,119,,,-2,0,S
0,3,120,,60,-1,5,S
0,96,120,,,-2,0,S
0,76,120,,,-2,0,S
0,76,120,,,-2,0,S
1,19,120,3992,,1,0,S
0,14,121,,43,-1,2,S
1,12,121,,38,-1,2,S
0,73,121,,,-2,0,S
1,3,122,,14,-1,5,S
0,64,122,231,,1,0,S
0,29,122,3930,,1,0,S
0,53,122,3816,,1,0,S
1,24,122,2915,,1,0,S
0,47,123,1171,,1,0,S
1,60,123,676,,1,0,S
1,63,123,,,0,0,S
1,69,123,,,-2,0,S
1,13,123,,56,-1,2,S
1,55,123,,,0,0,S
1,31,124,2929,,1,0,S
0,70,124,,,-2,0,S
1,47,124,2333,,1,0,S
0,51,125,2482,,1,0,S
1,74,125,,,-2,0,S
1,63,125,1675,,1,0,S
0,43,126,3735,,1,0,S
0,15,126,,7,-1,1,S
1,43,126,1013,,1,0,S
1,79,126,,,-2,0,S
1,40,127,1305,,1,0,S
1,34,127,2812,,1,0,S
1,98,128,,,-2,0,S
0,7,128,,61,-1,3,S
1,68,128,,,-2,0,S
1,96,129,,,-2,0,S
0,73,129,,,-2,0,S
1,9,129,,52,-1,3,S
0,78,130,,,-2,0,S
0,94,130,,,-2,0,S
0,26,130,4409,,1,0,S
0,66,130,,,-2,0,S
0,9,130,,14,-1,3,S
1,36,131,4404,,1,0,S
0,68,131,,,-2,0,S
1,85,131,,,-2,0,S
1,98,131,,,-2,0,S
0,15,132,,53,-1,1,S
0,70,133,,,-2,0,S
1,12,133,,10,-1,2,S
1,10,133,,1,-1,3,S
1,97,133,,,-2,0,S
0,26,133,918,,1,0,S
1,94,134,,,-2,0,S
1,95,134,,,-2,0,S
0,36,134,3922,,1,0,S
0,82,134,,,-2,0,S
0,32,134,1517,,1,0,S
1,52,134,1232,,1,0,S
0,5,135,,46,-1,4,S
1,62,135,2726,,1,0,S
0,18,136,4532,,1,0,S
1,97,136,,,-2,0,S
0,67,136,,,-2,0,S
0,83,136,,,-2,0,S
1,83,136,,,-2,0,S
0,3,137,,26,-1,5,S
0,82,137,,,-2,0,S
1,11,137,,29,-1,3,S
1,99,138,,,-2,0,S
0,24,138,1142,,1,0,S
1,46,138,3955,,1,0,S
0,63,139,473,,1,0,S
1,89,139,,,-2,0,S
1,8,140,,14,-1,3,S
1,71,140,,,-2,0,S
0,80,141,,,-2,0,S
0,85,141,,,-2,0,S
1,39,142,3544,,1,0,S
0,58,142,4016,,1,0,S
1,15,142,,17,-1,1,S
0,17,143,,13,-1,1,S
1,81,143,,,-2,0,S
0,9,144,,11,-1,3,S
1,10,144,,61,-1,3,S
0,22,144,3123,,1,0,S
0,33,144,3067,,1,0,S
0,31,144,4208,,1,0,S
1,47,144,3967,,1,0,S
0,67,144,,,-2,0,S
1,79,145,,,-2,0,S
0,58,145,1661,,1,0,S
0,19,145,3690,,1,0,S
0,94,146,,,-2,0,S
1,39,146,1661,,1,0,S
1,13,147,,20,-1,2,S
0,37,147,4722,,1,0,S
0,39,147,1816,,1,0,S
0,73,147,,,-2,0,S
1,16,147,,53,-1,1,S
0,28,147,4340,,1,0,S
1,89,148,,,-2,0,S
1,48,148,,,0,0,S
1,57,148,2484,,1,0,S
1,49,149,3191,,1,0,S
1,17,151,,18,-1,1,S
0,15,151,,30,-1,1,S
1,78,151,,,-2,0,S
1,91,151,,,-2,0,S
0,7,152,,36,-1,3,S
0,39,152,4143,,1,0,S
0,35,152,1052,,1,0,S
1,23,152,2417,,1,0,S
0,3,153,,63,-1,5,S
1,80,153,,,-2,0,S
1,91,154,,,-2,0,S
1,4,154,,6,-1,4,S
0,34,155,1291,,1,0,S
0,31,155,4479,,1,0,S
1,44,155,2787,,1,0,S
1,58,156,1126,,1,0,S
1,68,156,,,-2,0,S
0,15,156,,60,-1,1,S
1,93,156,,,-2,0,S
1,12,157,,26,-1,2,S
1,8,157,,4,-1,3,S
0,17,157,,22,-1,1,S
0,63,158,2963,,1,0,S
1,53,158,3739,,1,0,S
0,83,158,,,-2,0,S
0,4,159,,53,-1,4,S
1,38,159,3128,,1,0,S
1,24,159,4180,,1,0,S
1,96,159,,,-2,0,S
0,97,159,,,-2,0,S
1,60,160,1064,,1,0,S
1,32,161,1080,,1,0,S
1,37,162,282,,1,0,S
0,27,162,1723,,1,0,S
0,14,163,,44,-1,2,S
0,5,163,,47,-1,4,S
1,47,163,2359,,1,0,S
0,72,164,,,-2,0,S
0,89,165,,,-2,0,S
0,64,165,3627,,1,0,S
0,69,165,,,-2,0,S
0,82,166,,,-2,0,S
1,61,166,42,,1,0,S
1,12,166,,22,-1,2,S
1,97,166,,,-2,0,S
1,74,166,,,-2,0,S
1,37,167,3390,,1,0,S
1,9,167,,24,-1,3,S
0,16,167,,7,-1,1,S
1,28,167,2728,,1,0,S
1,9,167,,20,-1,3,S
1,97,168,,,-2,0,S
0,76,168,,,-2,0,S
0,68,168,,,-2,0,S
1,16,169,,48,-1,1,S
1,83,169,,,-2,0,S
1,54,170,1368,,1,0,S
1,88,170,,,-2,0,S
0,98,170,,,-2,0,S
1,44,170,,,0,0,S
1,6,171,,17,-1,3,S
1,34,171,876,,1,0,S
1,42,172,3678,,1,0,S
1,47,172,1535,,1,0,S
0,44,172,2698,,1,0,S
0,36,173,4063,,1,0,S
1,59,173,4242,,1,0,S
1,20,175,3658,,1,0,S
1,95,176,,,-2,0,S
1,26,176,2143,,1,0,S
0,41,176,2364,,1,0,S
1,37,177,,,0,0,S
1,84,177,,,-2,0,S
1,61,177,,,0,0,S
0,9,178,,4,-1,3,S
1,12,178,,55,-1,2,S
0,14,178,,35,-1,2,S
0,53,178,1976,,1,0,S
0,10,179,,37,-1,3,S
0,61,179,,,0,0,S
1,60,180,1673,,1,0,S
0,1,180,,60,-1,6,S
1,53,180,3312,,1,0,S
0,17,180,,18,-1,1,S
1,97,180,,,-2,0,S
0,92,180,,,-2,0,S
1,37,181,2209,,1,0,S
1,43,181,1233,,1,0,S
0,25,181,4438,,1,0,S
1,4,182,,14,-1,4,S
1,35,182,1831,,1,0,S
1,36,182,1480,,1,0,S
1,30,182,1626,,1,0,S
1,81,182,,,-2,0,S
0,48,183,3105,,1,0,S
1,15,183,,58,-1,1,S
1,88,183,,,-2,0,S
0,33,184,3217,,1,0,S
0,83,184,,,-2,0,S
1,13,184,,12,-1,2,S
1,59,184,3632,,1,0,S
0,15,185,,46,-1,1,S
1,90,185,,,-2,0,S
1,89,185,,,-2,0,S
1,53,185,1997,,1,0,S
1,85,185,,,-2,0,S
1,57,186,,,0,0,S
1,27,186,1293,,1,0,S
1,23,186,4065,,1,0,S
1,98,186,,,-2,0,S
0,65,186,3240,,1,0,S
1,95,187,,,-2,0,S
0,9,187,,6,-1,3,S
1,87,187,,,-2,0,S
1,72,187,,,-2,0,S
0,0,187,,44,-1,6,S
1,86,187,,,-2,0,S
1,38,188,3640,,1,0,S
0,78,188,,,-2,0,S
0,10,188,,1,-1,3,S
0,23,188,751,,1,0,S
1,35,189,3780,,1,0,S
1,72,189,,,-2,0,S
0,76,190,,,-2,0,S
0,76,190,,,-2,0,S
1,81,190,,,-2,0,S
1,16,190,,19,-1,1,S
0,17,191,,26,-1,1,S
0,9,191,,50,-1,3,S
0,19,191,966,,1,0,S
1,1,192,,13,-1,6,S
0,56,192,2959,,1,0,S
1,88,192,,,-2,0,S
0,37,193,3103,,1,0,S
0,12,194,,50,-1,2,S
0,0,194,,13,-1,6,S
1,43,195,1317,,1,0,S
1,54,195,2858,,1,0,S
0,14,195,,18,-1,2,S
0,7,195,,2,-1,3,S
1,38,196,4754,,1,0,S
0,77,196,,,-2,0,S
0,64,196,,,0,0,S
0,82,197,,,-2,0,S
1,35,197,3269,,1,0,S
1,99,197,,,-2,0,S
1,53,197,1978,,1,0,S
1,94,198,,,-2,0,S
1,66,198,,,-2,0,S
0,14,198,,20,-1,2,S
1,17,199,,52,-1,1,S
1,87,199,,,-2,0,S
1,71,199,,,-2,0,S
1,76,199,,,-2,0,S
1,32,200,824,,1,0,S
0,65,200,2912,,1,0,S
0,82,200,,,-2,0,S
1,34,200,4392,,1,0,S
1,44,200,1279,,1,0,S
0,15,201,,33,-1,1,S
0,20,201,1313,,1,0,S
1,78,202,,,-2,0,S
1,37,202,3562,,1,0,S
0,24,202,4144,,1,0,S
0,95,202,,,-2,0,S
1,45,202,939,,1,0,S
1,25,202,,,0,0,S
0,69,203,,,-2,0,S
0,31,203,643,,1,0,S
1,25,203,3984,,1,0,S
1,67,203,,,-2,0,S
0,41,203,,,0,0,S
1,70,204,,,-2,0,S
1,20,204,3324,,1,0,S
1,12,204,,55,-1,2,S
0,12,205,,24,-1,2,S
0,6,205,,32,-1,3,S
1,97,205,,,-2,0,S
0,16,205,,40,-1,1,S
1,42,205,3789,,1,0,S
1,67,205,,,-2,0,S
0,94,205,,,-2,0,S
1,84,206,,,-2,0,S
0,18,207,332,,1,0,S
1,28,207,1208,,1,0,S
0,9,207,,51,-1,3,S
0,60,207,792,,1,0,S
0,55,207,3522,,1,0,S
1,17,208,,3,-1,1,S
0,74,208,,,-2,0,S
1,38,209,1236,,1,0,S
1,59,209,3467,,1,0,S
1,54,210,913,,1,0,S
1,1,210,,2,-1,6,S
1,28,210,1241,,1,0,S
0,15,210,,13,-1,1,S
1,91,211,,,-2,0,S
0,29,211,,,0,0,S
1,61,211,1171,,1,0,S
0,8,212,,15,-1,3,S
1,63,212,502,,1,0,S
0,5,212,,6,-1,4,S
1,3,213,,10,-1,5,S
1,22,213,471,,1,0,S
1,8,213,,9,-1,3,S
1,73,214,,,-2,0,S
0,59,214,1066,,1,0,S
1,89,214,,,-2,0,S
1,72,214,,,-2,0,S
0,43,214,293,,1,0,S
1,18,214,3372,,1,0,S
0,2,214,,39,-1,5,S
1,62,215,2883,,1,0,S
1,85,215,,,-2,0,S
1,12,215,,60,-1,2,S
1,81,215,,,-2,0,S
0,19,216,1066,,1,0,S
1,81,216,,,-2,0,S
0,58,216,,,0,0,S
1,60,216,3006,,1,0,S
1,84,217,,,-2,0,S
1,61,217,2666,,1,0,S
1,1,217,,41,-1,6,S
1,19,218,4185,,1,0,S
0,43,218,1862,,1,0,S
1,85,218,,,-2,0,S
1,36,218,3263,,1,0,S
1,20,218,1738,,1,0,S
0,35,219,2151,,1,0,S
1,1,219,,33,-1,6,S
0,53,220,4203,,1,0,S
1,18,220,58,,1,0,S
0,25,220,2628,,1,0,S
0,64,221,723,,1,0,S
1,92,222,,,-2,0,S
0,93,222,,,-2,0,S
1,29,223,3710,,1,0,S
0,45,223,2791,,1,0,S
0,28,224,2695,,1,0,S
1,20,224,1162,,1,0,S
0,51,224,882,,1,0,S
0,72,224,,,-2,0,S
1,76,225,,,-2,0,S
1,58,225,1789,,1,0,S
1,97,226,,,-2,0,S
1,0,226,,47,-1,6,S
0,82,227,,,-2,0,S
1,54,228,3652,,1,0,S
1,78,228,,,-2,0,S
1,74,229,,,-2,0,S
0,90,229,,,-2,0,S
1,78,229,,,-2,0,S
0,13,231,,43,-1,2,S
0,49,231,,,0,0,S
1,71,232,,,-2,0,S
0,82,232,,,-2,0,S
1,93,232,,,-2,0,S
1,93,233,,,-2,0,S
0,28,233,159,,1,0,S
1,62,233,2548,,1,0,S
0,97,234,,,-2,0,S
1,39,234,,,0,0,S
1,95,234,,,-2,0,S
1,21,234,2402,,1,0,S
1,97,235,,,-2,0,S
1,70,235,,,-2,0,S
1,73,235,,,-2,0,S
1,33,236,2701,,1,0,S
0,95,237,,,-2,0,S
0,14,238,,33,-1,2,S
0,21,239,1333,,1,0,S
0,30,239,,,0,0,S
0,21,239,,,0,0,S
0,40,239,4412,,1,0,S
0,61,240,2594,,1,0,S
1,61,240,2841,,1,0,S
0,0,240,,23,-1,6,S
0,89,240,,,-2,0,S
0,79,241,,,-2,0,S
1,60,241,1026,,1,0,S
1,3,242,,52,-1,5,S
0,37,242,512,,1,0,S
0,25,242,,,0,0,S
1,49,242,,,0,0,S
1,87,242,,,-2,0,S
1,79,242,,,-2,0,S
0,39,242,,,0,0,S
1,87,243,,,-2,0,S
1,40,243,4134,,1,0,S
1,46,243,1375,,1,0,S
0,56,243,3326,,1,0,S
1,36,243,388,,1,0,S
1,50,243,4525,,1,0,S
1,11,244,,5,-1,3,S
0,36,244,3649,,1,0,S
0,72,244,,,-2,0,S
0,32,245,2154,,1,0,S
1,25,245,4193,,1,0,S
0,1,245,,1,-1,6,S
0,92,246,,,-2,0,S
1,36,246,4416,,1,0,S
1,66,246,,,-2,0,S
1,4,247,,14,-1,4,S
0,33,247,3254,,1,0,S
1,12,247,,54,-1,2,S
1,20,247,2416,,1,0,S
0,16,247,,11,-1,1,S
0,49,247,2391,,1,0,S
1,36,247,1328,,1,0,S
0,49,248,107,,1,0,S
1,81,248,,,-2,0,S
1,1,248,,53,-1,6,S
0,59,248,,,0,0,S
0,33,249,4096,,1,0,S
0,8,249,,50,-1,3,S
0,53,249,3427,,1,0,S
0,76,249,,,-2,0,S
1,74,250,,,-2,0,S
0,98,251,,,-2,0,S
1,32,251,,,0,0,S
0,12,251,,9,-1,2,S
0,80,251,,,-2,0,S
0,30,252,1810,,1,0,S
1,64,252,1743,,1,0,S
0,50,252,,,0,0,S
1,39,253,2255,,1,0,S
1,94,253,,,-2,0,S
0,38,254,3132,,1,0,S
0,98,254,,,-2,0,S
1,16,255,,62,-1,1,S
1,83,256,,,-2,0,S
1,58,256,3094,,1,0,S
0,14,257,,26,-1,2,S
1,72,257,,,-2,0,S
1,53,257,3383,,1,0,S
1,17,258,,13,-1,1,S
1,48,258,3250,,1,0,S
1,31,258,36,,1,0,S
0,10,258,,4,-1,3,S
0,98,258,,,-2,0,S
1,1,259,,23,-1,6,S
0,4,259,,56,-1,4,S
1,20,259,2417,,1,0,S
1,69,259,,,-2,0,S
1,8,259,,58,-1,3,S
0,84,260,,,-2,0,S
0,24,260,2922,,1,0,S
1,60,260,546,,1,0,S
1,92,260,,,-2,0,S
1,6,260,,20,-1,3,S
1,59,261,1200,,1,0,S
1,46,261,,,0,0,S
0,37,262,,,0,0,S
0,99,262,,,-2,0,S
1,13,263,,55,-1,2,S
1,2,263,,1,-1,5,S
1,53,264,1356,,1,0,S
1,73,266,,,-2,0,S
0,18,266,2468,,1,0,S
1,6,266,,49,-1,3,S
1,91,266,,,-2,0,S
1,62,266,,,0,0,S
1,21,267,,,0,0,S
1,22,268,3873,,1,0,S
0,95,268,,,-2,0,S
1,24,268,,,0,0,S
0,62,269,4291,,1,0,S
1,64,269,881,,1,0,S
1,21,270,2227,,1,0,S
0,21,270,2339,,1,0,S
1,93,270,,,-2,0,S
0,82,270,,,-2,0,S
1,95,271,,,-2,0,S
0,61,271,459,,1,0,S
1,61,271,4094,,1,0,S
0,95,272,,,-2,0,S
0,49,272,2421,,1,0,S
0,3,272,,34,-1,5,S
1,54,273,1890,,1,0,S
1,11,273,,35,-1,3,S
0,54,274,4563,,1,0,S
0,87,274,,,-2,0,S
0,64,275,2208,,1,0,S
0,62,275,2209,,1,0,S
1,44,275,333,,1,0,S
0,59,275,1455,,1,0,S
1,8,275,,55,-1,3,S
1,26,276,651,,1,0,S
0,13,276,,18,-1,2,S
